town,candidate,votes
Hopkinton,Obama/ Biden,4208
Hopkinton,Romney/ Ryan,4336
Hopkinton,Johnson/ Gray,94
Hopkinton,Stein/ Honkala,31
Hopkinton,All Others,11
Hubbardston,Obama/ Biden,1160
Hubbardston,Romney/ Ryan,1381
Hubbardston,Johnson/ Gray,31
Hubbardston,Stein/ Honkala,28
Hubbardston,All Others,11
Hudson,Obama/ Biden,5642
Hudson,Romney/ Ryan,4185
Hudson,Johnson/ Gray,139
Hudson,Stein/ Honkala,49
Hudson,All Others,8
Hull,Obama/ Biden,3584
Hull,Romney/ Ryan,2418
Hull,Johnson/ Gray,51
Hull,Stein/ Honkala,24
Hull,All Others,12
Huntington,Obama/ Biden,554
Huntington,Romney/ Ryan,479
Huntington,Johnson/ Gray,52
Huntington,Stein/ Honkala,14
Huntington,All Others,4
Ipswich,Obama/ Biden,4464
Ipswich,Romney/ Ryan,3758
Ipswich,Johnson/ Gray,86
Ipswich,Stein/ Honkala,52
Ipswich,All Others,11
Kingston,Obama/ Biden,3179
Kingston,Romney/ Ryan,3726
Kingston,Johnson/ Gray,52
Kingston,Stein/ Honkala,13
Kingston,All Others,10
Lakeville,Obama/ Biden,2422
Lakeville,Romney/ Ryan,3312
Lakeville,Johnson/ Gray,55
Lakeville,Stein/ Honkala,18
Lakeville,All Others,25
Lancaster,Obama/ Biden,1728
Lancaster,Romney/ Ryan,1915
Lancaster,Johnson/ Gray,44
Lancaster,Stein/ Honkala,26
Lancaster,All Others,15
Lanesborough,Obama/ Biden,1144
Lanesborough,Romney/ Ryan,430
Lanesborough,Johnson/ Gray,16
Lanesborough,Stein/ Honkala,6
Lanesborough,All Others,6
Lawrence,Obama/ Biden,18278
Lawrence,Romney/ Ryan,3462
Lawrence,Johnson/ Gray,138
Lawrence,Stein/ Honkala,47
Lawrence,All Others,37
Lee,Obama/ Biden,2198
Lee,Romney/ Ryan,719
Lee,Johnson/ Gray,26
Lee,Stein/ Honkala,25
Lee,All Others,7
Leicester,Obama/ Biden,2764
Leicester,Romney/ Ryan,2674
Leicester,Johnson/ Gray,74
Leicester,Stein/ Honkala,22
Leicester,All Others,18
Lenox,Obama/ Biden,2318
Lenox,Romney/ Ryan,675
Lenox,Johnson/ Gray,27
Lenox,Stein/ Honkala,29
Lenox,All Others,10
Leominster,Obama/ Biden,9792
Leominster,Romney/ Ryan,8552
Leominster,Johnson/ Gray,210
Leominster,Stein/ Honkala,88
